amount,loc,timestamp,mean_amt,std_amt,last_loc,last_time,type,ip_address
121.0,Dubai,2026-02-07T14:07:51.211227,100,20,Dubai,2026-02-06T14:07:51.211232,POS_PAYMENT,10.0.0.137
126.0,Dubai,2026-02-07T14:07:51.211242,100,20,Dubai,2026-02-06T14:07:51.211243,POS_PAYMENT,10.0.0.137
112.0,Dubai,2026-02-07T14:07:51.211247,100,20,Dubai,2026-02-06T14:07:51.211248,POS_PAYMENT,10.0.0.199
93.0,Dubai,2026-02-07T14:07:51.211251,100,20,Dubai,2026-02-06T14:07:51.211252,POS_PAYMENT,10.0.0.211
92.0,Dubai,2026-02-07T14:07:51.211255,100,20,Dubai,2026-02-06T14:07:51.211255,POS_PAYMENT,10.0.0.134
101.0,Dubai,2026-02-07T14:07:51.211259,100,20,Dubai,2026-02-06T14:07:51.211259,POS_PAYMENT,10.0.0.120
97.0,Dubai,2026-02-07T14:07:51.211262,100,20,Dubai,2026-02-06T14:07:51.211263,POS_PAYMENT,10.0.0.155
124.0,Dubai,2026-02-07T14:07:51.211265,100,20,Dubai,2026-02-06T14:07:51.211266,POS_PAYMENT,10.0.0.233
86.0,Dubai,2026-02-07T14:07:51.211268,100,20,Dubai,2026-02-06T14:07:51.211269,POS_PAYMENT,10.0.0.208
104.0,Dubai,2026-02-07T14:07:51.211272,100,20,Dubai,2026-02-06T14:07:51.211272,POS_PAYMENT,10.0.0.185
126.0,Dubai,2026-02-07T14:07:51.211275,100,20,Dubai,2026-02-06T14:07:51.211275,POS_PAYMENT,10.0.0.244
60.0,Dubai,2026-02-07T14:07:51.211278,100,20,Dubai,2026-02-06T14:07:51.211279,POS_PAYMENT,10.0.0.207
52.0,Dubai,2026-02-07T14:07:51.211281,100,20,Dubai,2026-02-06T14:07:51.211282,POS_PAYMENT,10.0.0.145
107.0,Dubai,2026-02-07T14:07:51.211285,100,20,Dubai,2026-02-06T14:07:51.211285,POS_PAYMENT,10.0.0.182
75.0,Dubai,2026-02-07T14:07:51.211288,100,20,Dubai,2026-02-06T14:07:51.211288,POS_PAYMENT,10.0.0.125
52.0,Dubai,2026-02-07T14:07:51.211291,100,20,Dubai,2026-02-06T14:07:51.211291,POS_PAYMENT,10.0.0.144
78.0,Dubai,2026-02-07T14:07:51.211294,100,20,Dubai,2026-02-06T14:07:51.211295,POS_PAYMENT,10.0.0.132
80.0,Dubai,2026-02-07T14:07:51.211297,100,20,Dubai,2026-02-06T14:07:51.211298,POS_PAYMENT,10.0.0.62
132.0,Dubai,2026-02-07T14:07:51.211300,100,20,Dubai,2026-02-06T14:07:51.211301,POS_PAYMENT,10.0.0.173
56.0,Dubai,2026-02-07T14:07:51.211304,100,20,Dubai,2026-02-06T14:07:51.211304,POS_PAYMENT,10.0.0.28
126.0,Dubai,2026-02-07T14:07:51.211307,100,20,Dubai,2026-02-06T14:07:51.211307,POS_PAYMENT,10.0.0.130
81.0,Dubai,2026-02-07T14:07:51.211310,100,20,Dubai,2026-02-06T14:07:51.211310,POS_PAYMENT,10.0.0.181
98.0,Dubai,2026-02-07T14:07:51.211313,100,20,Dubai,2026-02-06T14:07:51.211314,POS_PAYMENT,10.0.0.17
107.0,Dubai,2026-02-07T14:07:51.211316,100,20,Dubai,2026-02-06T14:07:51.211317,POS_PAYMENT,10.0.0.246
103.0,Dubai,2026-02-07T14:07:51.211319,100,20,Dubai,2026-02-06T14:07:51.211320,POS_PAYMENT,10.0.0.248
138.0,Dubai,2026-02-07T14:07:51.211322,100,20,Dubai,2026-02-06T14:07:51.211323,POS_PAYMENT,10.0.0.139
116.0,Dubai,2026-02-07T14:07:51.211326,100,20,Dubai,2026-02-06T14:07:51.211326,POS_PAYMENT,10.0.0.246
124.0,Dubai,2026-02-07T14:07:51.211329,100,20,Dubai,2026-02-06T14:07:51.211331,POS_PAYMENT,10.0.0.136
129.0,Dubai,2026-02-07T14:07:51.211334,100,20,Dubai,2026-02-06T14:07:51.211335,POS_PAYMENT,10.0.0.201
83.0,Dubai,2026-02-07T14:07:51.211337,100,20,Dubai,2026-02-06T14:07:51.211338,POS_PAYMENT,10.0.0.168
106.0,Dubai,2026-02-07T14:07:51.211340,100,20,Dubai,2026-02-06T14:07:51.211341,POS_PAYMENT,10.0.0.45
131.0,Dubai,2026-02-07T14:07:51.211344,100,20,Dubai,2026-02-06T14:07:51.211344,POS_PAYMENT,10.0.0.10
53.0,Dubai,2026-02-07T14:07:51.211347,100,20,Dubai,2026-02-06T14:07:51.211347,POS_PAYMENT,10.0.0.98
133.0,Dubai,2026-02-07T14:07:51.211350,100,20,Dubai,2026-02-06T14:07:51.211350,POS_PAYMENT,10.0.0.224
77.0,Dubai,2026-02-07T14:07:51.211355,100,20,Dubai,2026-02-06T14:07:51.211355,POS_PAYMENT,10.0.0.63
93.0,Dubai,2026-02-07T14:07:51.211358,100,20,Dubai,2026-02-06T14:07:51.211359,POS_PAYMENT,10.0.0.124
115.0,Dubai,2026-02-07T14:07:51.211361,100,20,Dubai,2026-02-06T14:07:51.211362,POS_PAYMENT,10.0.0.135
128.0,Dubai,2026-02-07T14:07:51.211364,100,20,Dubai,2026-02-06T14:07:51.211365,POS_PAYMENT,10.0.0.82
129.0,Dubai,2026-02-07T14:07:51.211367,100,20,Dubai,2026-02-06T14:07:51.211368,POS_PAYMENT,10.0.0.241
75.0,Dubai,2026-02-07T14:07:51.211370,100,20,Dubai,2026-02-06T14:07:51.211371,POS_PAYMENT,10.0.0.188
115.0,Dubai,2026-02-07T14:07:51.211374,100,20,Dubai,2026-02-06T14:07:51.211374,POS_PAYMENT,10.0.0.142
81.0,Dubai,2026-02-07T14:07:51.211377,100,20,Dubai,2026-02-06T14:07:51.211377,POS_PAYMENT,10.0.0.182
50.0,Dubai,2026-02-07T14:07:51.211380,100,20,Dubai,2026-02-06T14:07:51.211380,POS_PAYMENT,10.0.0.62
93.0,Dubai,2026-02-07T14:07:51.211383,100,20,Dubai,2026-02-06T14:07:51.211384,POS_PAYMENT,10.0.0.186
136.0,Dubai,2026-02-07T14:07:51.211386,100,20,Dubai,2026-02-06T14:07:51.211387,POS_PAYMENT,10.0.0.217
106.0,Dubai,2026-02-07T14:07:51.211389,100,20,Dubai,2026-02-06T14:07:51.211390,POS_PAYMENT,10.0.0.200
104.0,Dubai,2026-02-07T14:07:51.211392,100,20,Dubai,2026-02-06T14:07:51.211393,POS_PAYMENT,10.0.0.237
57.0,Dubai,2026-02-07T14:07:51.211395,100,20,Dubai,2026-02-06T14:07:51.211396,POS_PAYMENT,10.0.0.179
145.0,Dubai,2026-02-07T14:07:51.211398,100,20,Dubai,2026-02-06T14:07:51.211399,POS_PAYMENT,10.0.0.128
124.0,Dubai,2026-02-07T14:07:51.211402,100,20,Dubai,2026-02-06T14:07:51.211402,POS_PAYMENT,10.0.0.201
126.0,Dubai,2026-02-07T14:07:51.211405,100,20,Dubai,2026-02-06T14:07:51.211405,POS_PAYMENT,10.0.0.158
86.0,Dubai,2026-02-07T14:07:51.211408,100,20,Dubai,2026-02-06T14:07:51.211408,POS_PAYMENT,10.0.0.47
100.0,Dubai,2026-02-07T14:07:51.211411,100,20,Dubai,2026-02-06T14:07:51.211411,POS_PAYMENT,10.0.0.199
148.0,Dubai,2026-02-07T14:07:51.211414,100,20,Dubai,2026-02-06T14:07:51.211414,POS_PAYMENT,10.0.0.54
122.0,Dubai,2026-02-07T14:07:51.211417,100,20,Dubai,2026-02-06T14:07:51.211418,POS_PAYMENT,10.0.0.160
103.0,Dubai,2026-02-07T14:07:51.211420,100,20,Dubai,2026-02-06T14:07:51.211421,POS_PAYMENT,10.0.0.40
75.0,Dubai,2026-02-07T14:07:51.211423,100,20,Dubai,2026-02-06T14:07:51.211424,POS_PAYMENT,10.0.0.139
111.0,Dubai,2026-02-07T14:07:51.211426,100,20,Dubai,2026-02-06T14:07:51.211427,POS_PAYMENT,10.0.0.187
58.0,Dubai,2026-02-07T14:07:51.211430,100,20,Dubai,2026-02-06T14:07:51.211430,POS_PAYMENT,10.0.0.60
76.0,Dubai,2026-02-07T14:07:51.211433,100,20,Dubai,2026-02-06T14:07:51.211433,POS_PAYMENT,10.0.0.246
60.0,Dubai,2026-02-07T14:07:51.211436,100,20,Dubai,2026-02-06T14:07:51.211436,POS_PAYMENT,10.0.0.193
93.0,Dubai,2026-02-07T14:07:51.211439,100,20,Dubai,2026-02-06T14:07:51.211439,POS_PAYMENT,10.0.0.200
70.0,Dubai,2026-02-07T14:07:51.211442,100,20,Dubai,2026-02-06T14:07:51.211442,POS_PAYMENT,10.0.0.188
55.0,Dubai,2026-02-07T14:07:51.211445,100,20,Dubai,2026-02-06T14:07:51.211445,POS_PAYMENT,10.0.0.249
115.0,Dubai,2026-02-07T14:07:51.211448,100,20,Dubai,2026-02-06T14:07:51.211448,POS_PAYMENT,10.0.0.105
77.0,Dubai,2026-02-07T14:07:51.211451,100,20,Dubai,2026-02-06T14:07:51.211452,POS_PAYMENT,10.0.0.64
95.0,Dubai,2026-02-07T14:07:51.211454,100,20,Dubai,2026-02-06T14:07:51.211455,POS_PAYMENT,10.0.0.134
109.0,Dubai,2026-02-07T14:07:51.211457,100,20,Dubai,2026-02-06T14:07:51.211458,POS_PAYMENT,10.0.0.167
68.0,Dubai,2026-02-07T14:07:51.211460,100,20,Dubai,2026-02-06T14:07:51.211461,POS_PAYMENT,10.0.0.240
132.0,Dubai,2026-02-07T14:07:51.211463,100,20,Dubai,2026-02-06T14:07:51.211464,POS_PAYMENT,10.0.0.225
146.0,Dubai,2026-02-07T14:07:51.211467,100,20,Dubai,2026-02-06T14:07:51.211467,POS_PAYMENT,10.0.0.54
97.0,Dubai,2026-02-07T14:07:51.211470,100,20,Dubai,2026-02-06T14:07:51.211470,POS_PAYMENT,10.0.0.235
114.0,Dubai,2026-02-07T14:07:51.211473,100,20,Dubai,2026-02-06T14:07:51.211473,POS_PAYMENT,10.0.0.171
119.0,Dubai,2026-02-07T14:07:51.211476,100,20,Dubai,2026-02-06T14:07:51.211476,POS_PAYMENT,10.0.0.129
123.0,Dubai,2026-02-07T14:07:51.211479,100,20,Dubai,2026-02-06T14:07:51.211479,POS_PAYMENT,10.0.0.53
116.0,Dubai,2026-02-07T14:07:51.211482,100,20,Dubai,2026-02-06T14:07:51.211483,POS_PAYMENT,10.0.0.13
128.0,Dubai,2026-02-07T14:07:51.211485,100,20,Dubai,2026-02-06T14:07:51.211486,POS_PAYMENT,10.0.0.158
79.0,Dubai,2026-02-07T14:07:51.211489,100,20,Dubai,2026-02-06T14:07:51.211489,POS_PAYMENT,10.0.0.190
89.0,Dubai,2026-02-07T14:07:51.211492,100,20,Dubai,2026-02-06T14:07:51.211492,POS_PAYMENT,10.0.0.217
71.0,Dubai,2026-02-07T14:07:51.211495,100,20,Dubai,2026-02-06T14:07:51.211495,POS_PAYMENT,10.0.0.1
65.0,Dubai,2026-02-07T14:07:51.211498,100,20,Dubai,2026-02-06T14:07:51.211498,POS_PAYMENT,10.0.0.211
138.0,Dubai,2026-02-07T14:07:51.211501,100,20,Dubai,2026-02-06T14:07:51.211501,POS_PAYMENT,10.0.0.155
134.0,Dubai,2026-02-07T14:07:51.211504,100,20,Dubai,2026-02-06T14:07:51.211505,POS_PAYMENT,10.0.0.170
500.01,Dubai,2026-02-07T14:07:51.211574,5000,1000,Dubai,2026-02-07T13:57:51.211575,WITHDRAWAL_QUICK_FLIP,192.168.1.105
106.0,Dubai,2026-02-07T14:07:51.211579,100,20,Dubai,2026-02-06T14:07:51.211580,POS_PAYMENT,10.0.0.176
88.0,Dubai,2026-02-07T14:07:51.211583,100,20,Dubai,2026-02-06T14:07:51.211583,POS_PAYMENT,10.0.0.149
78.0,Dubai,2026-02-07T14:07:51.211586,100,20,Dubai,2026-02-06T14:07:51.211586,POS_PAYMENT,10.0.0.216
111.0,Dubai,2026-02-07T14:07:51.211589,100,20,Dubai,2026-02-06T14:07:51.211589,POS_PAYMENT,10.0.0.234
74.0,Dubai,2026-02-07T14:07:51.211592,100,20,Dubai,2026-02-06T14:07:51.211592,POS_PAYMENT,10.0.0.37
72.0,Dubai,2026-02-07T14:07:51.211595,100,20,Dubai,2026-02-06T14:07:51.211596,POS_PAYMENT,10.0.0.249
67.0,Dubai,2026-02-07T14:07:51.211598,100,20,Dubai,2026-02-06T14:07:51.211599,POS_PAYMENT,10.0.0.196
